XYZ (105953 points)
127.108 29.301 150.149
127.158 29.161 216.886
127.200 29.015 400.347
127.232 28.864 725.043
127.257 28.709 963.589
127.275 28.551 1050.807
127.287 28.389 1101.572
127.294 28.225 1047.980
127.295 28.059 1141.173
127.292 27.890 1262.055
127.283 27.719 1534.299
127.271 27.546 1592.076
127.253 27.371 1116.408
127.231 27.194 1285.176
127.204 27.016 960.953
127.173 26.837 603.135
127.136 26.656 1495.008
127.094 26.474 1600.699
127.047 26.291 300.678
126.995 26.108 851.410
126.938 25.924 1832.454
126.875 25.740 975.278
126.806 25.558 516.159
126.731 25.371 1263.614
126.654 25.188 1670.775
126.571 25.006 1665.797
126.485 24.822 1784.564
126.392 24.640 1657.576
126.295 24.459 2094.652
126.197 24.280 1777.533
126.082 24.135 1607.375
126.009 23.963 1665.774
125.898 23.788 3548.849
125.786 23.611 3557.215
125.670 23.436 6455.822
125.553 23.259 6567.492
125.433 23.083 5921.147
125.313 22.906 5964.268
125.188 22.728 5579.244
125.041 22.547 5540.727
124.914 22.350 5509.185
124.783 22.174 5625.579
124.650 22.000 5473.785
124.512 21.831 5710.134
124.373 21.658 5821.454
124.236 21.482 5424.595
124.092 21.311 5380.082
